,Comments,Times,Upvotes
70,Beautiful goal from the GOAT Also that kit looks great on Messi.,1 month ago,1
71,He is the greatest for a reason ,1 month ago,
72,Monstro sagrado,1 month ago,2
73,Not only is it's becks but it's Messi and now it's going to be a great season in the mls even just with Messi there. What a player!!,1 month ago,
74,"Debut with a free kick goal, what a GOAT",1 month ago,139
75,he literally just re-wrote history ,1 month ago,1
76,"Gosc jest najlepszy i tyle
Number one !!",1 month ago,
77,"I see a difference in Messi. He seemed so happy when he stepped on the stage. After scoring the goal, the way he worked the crowd reminds me of his Barcelona days.Never seen this smile or happiness when he was at PSG. The management, coach and the team dynamics must have been stifling. Being a gentleman that he is, he never talks about it. It was worth waiting to watch the thriller of a game. He should not have to do any of these things at his age, but he still does and that's why he is the best ever.",1 month ago,
78,"Buena suerte en tu retiro de oro,  Messi,   y muchas gracias por haber jugado en Barcelona.",1 month ago,
79,What a free kick from the GOAT,1 month ago,1
80,"You couldn’t make a better debut story up. Unbelievable, truly the goat ",1 month ago,
81,Messi é ícone demais!,1 month ago,59
82,"At a lively place where he will be cherished. Welcome to US, Messi :)",1 month ago,
83,Just crazy how Zlatan n Messi came and immediately show the HUGE difference in class talent and abilities being subbed on in their very first match. Gotta be the best debut goals in MLS history,1 month ago,
84,"A BEAUTIFUL....WINNING....FREE KICK goal, on the LAST MINUTE..... of his Miami DEBUT 
You can't write this stuff. ",1 month ago,1
85,"I mean.. just wow. Love him, GOAT",1 month ago,
86,Brilla donde sea este crack del futbol,1 month ago,
87,Messi por fin feliz en un club despues de 2 largas temporadas ️,1 month ago,279
88,I love seeing him celebrate so passionately with his new teammates.,1 month ago,
89,It’s so heartwarming seeing Messi happy again,1 month ago,
90,I find myself coming here every day to watch this clip and every time I get goosebumps.,2 weeks ago,
91,This dude !! Never fails to impress me ,1 month ago,
92,Happy for both the goat coz at the end both deserve the respect n to be happy where theyre playing at this age thank u CR7 n messi for all those wonderful moment u've given us,1 month ago (edited),
93,¿Messi no dejará nunca de sorprendernos?,1 month ago,214
94,What a debut! First goal with a free kick in last minute? ,1 month ago,2
95,what a time to be alive ️️️,1 month ago,
96,Melhor do mundo,1 month ago,2
97,"his exceptional left foot as always, nothing better than rubbing the lamp and scoring this incredible goal. The art of being lionel messi ",1 month ago,
98,"The greatest of all time has, once again, shown why he is the greatest of all time ",1 month ago,
99,The Magic Man!!! ,1 month ago,368
100,this commentator added to the moment......that scream sent chills. What a moment!,1 month ago,
101,What a way to score your debut goal. Totally insane. ,1 month ago,
102,Greatest Sportsman of all time!!,1 month ago,1
103,El mejor jugador del mundo brutal ,1 month ago,
104,The guy is pure magic. So happy for him.,1 month ago,66
105,"Amazing Job Messi, you are truly the GOAT Loved the look on David Beckham’s face too ",1 month ago,
106,THE GREATEST OF ALL TIME ,1 month ago,1
107,It was written in the stars. Simply amazing,1 month ago,
108,I mean what else can one say after all these years of messi magic moments,1 month ago,1
109,The guy is a PURE GENIUS ️,1 month ago,
110,Cara é monstro já fez gol,1 month ago,4
111,Personne n'attendais cela dans le stade ,1 month ago,1
112,"Nothing about him surprise me anymore , exceptional",1 month ago,
113, This brings back memories. Messi’s free kicks would be unstoppable. No pressure. MLS is bigger than we all thought.,1 month ago,
114,The excitement of the commentator after the foul. He knew what was coming.. ,1 month ago,
115,Messi brabo demais,1 month ago,
116,"Making even more history, Unbelievable. Only the GOAT can do it ",1 month ago,31
117,"The time makes it even more legendary, last kick of the game!",1 month ago,
118,"Where there's Messi
There's magic",1 month ago,
119,Simply the greatest of all time... Lionel Messi ,1 month ago,
120,Greatest of all time,1 month ago,
121,"What a goal, What a player, What a man, What an inspiration!",1 month ago,12
122,The fact both managers had a smile on their face shows just how truly special Messi actually is,1 month ago,
123,"What a goal from the G.O.A.T, in his debut he scored his first goal and winning goal in the last minute.",1 month ago,
124,Started with a legendary goal.... THE GREATEST OF ALL TIMEE...,1 month ago,
125,"I think we have to appreciate everything this men is giving us on a weekly basis for the past 20 years. Nobody came or will ever come close to this immaculate footballer. He is not only the greatest footballer to ever play this game but also the most complete footballer ever. He makes you wonder how simple football can be, and we all know that playing simple is the most difficult thing in football. Enjoy him while he's here. There is never going to be someone like him in our lifetimes again.",1 month ago,2
126,WHAT A GOAL. LEGENDARY,1 month ago,1
127,"In a debut, with a freekick, in the last minutes, and a winning goal! What a way to introduce yourself!",1 month ago,8
128,"Surreal, a man amongst boys and he delivers as he has always done!",1 month ago,
129,"Messi looks so happy after scoring a goal here, Unlike in PSG he wasnt as happy ",1 month ago,
130,Que felicidad ver triunfar a este hombre en el debut de su  nuevo club y de su nueva vida en Miami! ,1 month ago,1
131,"Look at Messi man, so inspirational",1 month ago,1
132,Being there had to be a Priceless moment for Messi fans.. Nevertheless to bring in the Final moment of the game .. Truly Electrifying and Amazing!,1 month ago (edited),
133,What a debut  GOAT!,1 month ago,25
134,"Watching Lionel Messi, greatest feeling in the world, it’s unreal man.",1 month ago,
135,He was so excited and nervous it reminded me of his debut for Barcelona. Just happy to see him playing with the same passion he use to play with.,1 month ago,
136,That’s crazy he scored a beautiful goal on the last minute in his debut match what a start,1 month ago,
137,This is right up there alongside Zlatan's debut goals in the MLS. Incredible stuff.,1 month ago,
138,"I'm Portuguese and this moment almost brought me to tears... Absolutely legendary, although CR7 is my idol I can't help but root for them both because they inspired me to love this game and to keep moments like this in the depths of my heart... Sports are amazing, viva Messi",1 month ago,
139,"That was the most unbelievable goal, the most incredible feat of soccer that has ever happened. There will never be a goal like that again.",1 month ago,
140,"beautiful freekick goal in his debut....Fans must be very happy.
What a living legend",1 month ago,76
141,"Messi creates memories that will never fade ,i am proud to be living in his Era ,my future grandkids don't worry,i have lots of stories to tell .",1 month ago,
142,What a amazing achievement in his debut. The GOAT,1 month ago,2
143,"Being there to witness that moment must have been surreal! Messi's consistent brilliance, scoring those goals from his Barça days to the present, earns him immense respect. Truly impressive! ",1 month ago,
144,"This man was born a football player. Most greats had to train overtime to maintained consistency,  but he is the living GOAT.",1 month ago,1
145,Cómo no alegrarse por él. Se merece todo ,1 month ago,
146,Goosebumps ,1 month ago,33
147,Out of Words for Leo.. watching him since 2008 and still he amazes me. ,1 month ago,
148,"Wherever he goes his presence is always felt,first game for Miami rhis was how he announved his arrival with a stunning freekick goal in the last seconds of the game",1 month ago,
149,"I never thought I’d see the day…Messi in the MLS…and what a way to announce your presence…it just had to be. As soon as he was fouled, I just knew…it was a good spot and I was like “Messi, go for it man, go for goal!”",1 month ago,
150,EL MEJOR DE TODA LA HISTORIA!!!! 🇦🇷,1 month ago,
151,O verdadeiro GOAT,1 month ago,
152,I’m really happy for David Beckham because back in his playing days with the LA Galaxy he once said that he had a huge compromise with football in the United States. He wanted to contribute to the league after his retirement. Look at him now not only did he bring a team the the city of Miami he also as manage to sign Lionel Messi he is a man that keeps his promises huge respect for Beckham.,1 month ago (edited),5
153,Es un debut maravilloso todavia tiene mucha magia Messi es el mejor jugador del mundo y llena estadios orgullo latino y de Argentina,1 month ago,
154,"Look at the happiness on his face, him celebrating and smiling after that world class free kick in such a clutch moment is just so beautiful to watch. It's evident that he is the best in the world right now. And I am a cr7 fan saying this",1 month ago,
155,Messi with his signature free kick was such a treat.,1 month ago,
156,Disfrutar los últimos años a messi a esta leyenda,1 month ago,
157,That smile when he was jogging alone after the goal was the biggest smile I think I've ever seen him have. As a Real Madrid fan that was heart warming,1 month ago,1
158,"Doesn't matter what part of the world he's in. 
Pure Genius....",1 month ago,18
159,He is just unbelievable... So happy for him that he left PSG and actually gets to enjoy playing football again ,1 month ago,
160,"It's so beautiful to watch him but sad to know that he's playing his last matches in his career,  what a joy was to watch you Leo ",1 month ago (edited),1
161,"É normal, Messi é Messi ",1 month ago,
162,He scored a banger we will see many more from his side  ALL TIME GREAT,1 month ago,
163,"Debuta, hace un tremendo GOLAZO, es al ultimo minuto, y es el gol que le da la victoria a su equipo, enorme…",1 month ago,1
164,"Messi lo ha vuelto a hacer, da igual cuando leas este comentario. Simplemente increíble.",1 month ago,10
165,"Welcome to the MLS, Messi. ",1 month ago,
166,"Abrazándose de esa manera con sus nuevos compañeros en su primer gol, Messi es humildad, Messi es todo lo que está bien",1 month ago,
167,"Amazing debut. Once Messi, Burquets, and Martinez got on Miami's play quality doubled. Messi scored goal of the match, but player of the match in my opinion was Sergio Busquets. That guys passes and set ups were spot on!",1 month ago,1
168,"No matter where he go, his teammates always seems to love him.",1 month ago,
169,What a debut goal !!!!,1 month ago,
170,"You can say whatever you want, about it being the US, the MLS, whatever you want, it doesn’t matter…this was an incredible strike from arguably the best player of all time and a historic debut. Enjoy the moment, have fun.",1 month ago,
171,No matter where he plays he will find a way to score spectacular goals !! He just looks at football from a different perspective !,1 month ago,18
172,Look how he is humble ..the GOAT ,1 month ago,
173,Legit GOOSEBUMPS moment. LEGEND,1 month ago,
174,That decisive winning goal for PSG just a couple of months back and now this decisive winning goal for InterMiami. Only a LEGEND can repeat history again and again.,1 month ago,
175,His Humility ️,1 month ago,1
176,The way he celebrate his goal.. Like someone who find his HOME... Love to see he enjoy this goal...,1 month ago,
177,"i am so proud of being Messi’s fan. My happiness is witness Messi playing and enjoying his new life. What a legend. Hopefully,Messi continues shining and being GOAT ever ",1 month ago,15
178,"Even though this game has changed its name to soccer, Messi's magic still delivers.
The greatest of all time ️",1 month ago,
179,Este gol de Messi me da unas vibras al gol que le hace al Liverpool en champions con el Barca,1 month ago,
180,What an ABSOLUTE legend,1 month ago,
181,Am more of a Ronaldo fan but OMG Messi is nothing but pure magic...we thank God for Messi and Ronaldo for giving us the best of football for so many years...a debut of nothing short of magic...,1 month ago,
182,"Besides the amazing free kick, Inter changed completely as soon Messi and Busquets got in, the quality of passing and how incisive Inter became was day an night. If they get Suarez up front Inter is gonna draw circles around the MLS teams.",1 month ago,
183,"Not a Messi fan but I gotta admit: every single person in that stadium, including his team mates are completely star-struck",1 month ago,13
184,Que lindo es verte sonreír Lionel♡,1 month ago,
185,Que lindo es ver como Messi despierta pasion por el futbol en personas de todo el mundo.,1 month ago,
186,In his debut he carried the team ,1 month ago,
187,Нет слов! Нужно признать что он один из королей футбола,1 month ago,1
188,He makes it look so easy!! The GOAT!!!,1 month ago,
189,Espectacular  🇦🇷 ️,1 month ago,34
190,Beautiful goal from the GOAT Also that kit looks great on Messi.,1 month ago,1
191,He is the greatest for a reason ,1 month ago,
192,Monstro sagrado,1 month ago,2
193,Not only is it's becks but it's Messi and now it's going to be a great season in the mls even just with Messi there. What a player!!,1 month ago,
194,"Debut with a free kick goal, what a GOAT",1 month ago,4
195,he literally just re-wrote history ,1 month ago,
196,"Gosc jest najlepszy i tyle
Number one !!",1 month ago,
197,"I see a difference in Messi. He seemed so happy when he stepped on the stage. After scoring the goal, the way he worked the crowd reminds me of his Barcelona days.Never seen this smile or happiness when he was at PSG. The management, coach and the team dynamics must have been stifling. Being a gentleman that he is, he never talks about it. It was worth waiting to watch the thriller of a game. He should not have to do any of these things at his age, but he still does and that's why he is the best ever.",1 month ago,
198,"Buena suerte en tu retiro de oro,  Messi,   y muchas gracias por haber jugado en Barcelona.",1 month ago,
199,What a free kick from the GOAT,1 month ago,2
200,"You couldn’t make a better debut story up. Unbelievable, truly the goat ",1 month ago,
201,Messi é ícone demais!,1 month ago,
202,"At a lively place where he will be cherished. Welcome to US, Messi :)",1 month ago,
203,Just crazy how Zlatan n Messi came and immediately show the HUGE difference in class talent and abilities being subbed on in their very first match. Gotta be the best debut goals in MLS history,1 month ago,
204,"A BEAUTIFUL....WINNING....FREE KICK goal, on the LAST MINUTE..... of his Miami DEBUT 
You can't write this stuff. ",1 month ago,28
205,"I mean.. just wow. Love him, GOAT",1 month ago,
206,Brilla donde sea este crack del futbol,3 days ago,
207,Messi por fin feliz en un club despues de 2 largas temporadas ️,1 month ago,
208,I love seeing him celebrate so passionately with his new teammates.,1 month ago,
209,It’s so heartwarming seeing Messi happy again,1 month ago,
210,I find myself coming here every day to watch this clip and every time I get goosebumps.,1 month ago,23
211,This dude !! Never fails to impress me ,1 month ago,10
212,Happy for both the goat coz at the end both deserve the respect n to be happy where theyre playing at this age thank u CR7 n messi for all those wonderful moment u've given us,1 month ago,
213,¿Messi no dejará nunca de sorprendernos?,1 month ago (edited),1
214,What a debut! First goal with a free kick in last minute? ,1 month ago,
215,what a time to be alive ️️️,1 month ago,
216,Melhor do mundo,1 month ago (edited),14
217,"his exceptional left foot as always, nothing better than rubbing the lamp and scoring this incredible goal. The art of being lionel messi ",1 month ago,1
218,"The greatest of all time has, once again, shown why he is the greatest of all time ",1 month ago,1
219,The Magic Man!!! ,1 month ago,
220,this commentator added to the moment......that scream sent chills. What a moment!,1 month ago,2
221,What a way to score your debut goal. Totally insane. ,1 month ago,
222,Greatest Sportsman of all time!!,1 month ago,12
223,El mejor jugador del mundo brutal ,1 month ago,
224,The guy is pure magic. So happy for him.,1 month ago,2
225,"Amazing Job Messi, you are truly the GOAT Loved the look on David Beckham’s face too ",1 month ago,
226,THE GREATEST OF ALL TIME ,1 month ago,
227,It was written in the stars. Simply amazing,1 month ago,
228,I mean what else can one say after all these years of messi magic moments,1 month ago,4
229,The guy is a PURE GENIUS ️,9 days ago,
230,Cara é monstro já fez gol,1 month ago,1
231,Personne n'attendais cela dans le stade ,1 month ago (edited),
232,"Nothing about him surprise me anymore , exceptional",1 month ago,1
233, This brings back memories. Messi’s free kicks would be unstoppable. No pressure. MLS is bigger than we all thought.,1 month ago,
234,The excitement of the commentator after the foul. He knew what was coming.. ,1 month ago,11
235,Messi brabo demais,1 month ago,
236,"Making even more history, Unbelievable. Only the GOAT can do it ",1 month ago,1
237,"The time makes it even more legendary, last kick of the game!",1 month ago,
238,"Where there's Messi
There's magic",1 month ago,
239,Simply the greatest of all time... Lionel Messi ,1 month ago,
240,Greatest of all time,1 month ago,4
241,"What a goal, What a player, What a man, What an inspiration!",1 month ago,1
242,The fact both managers had a smile on their face shows just how truly special Messi actually is,1 month ago,
243,"What a goal from the G.O.A.T, in his debut he scored his first goal and winning goal in the last minute.",1 month ago,
244,Started with a legendary goal.... THE GREATEST OF ALL TIMEE...,1 month ago,
245,"I think we have to appreciate everything this men is giving us on a weekly basis for the past 20 years. Nobody came or will ever come close to this immaculate footballer. He is not only the greatest footballer to ever play this game but also the most complete footballer ever. He makes you wonder how simple football can be, and we all know that playing simple is the most difficult thing in football. Enjoy him while he's here. There is never going to be someone like him in our lifetimes again.",1 month ago,
246,WHAT A GOAL. LEGENDARY,1 month ago,13
247,"In a debut, with a freekick, in the last minutes, and a winning goal! What a way to introduce yourself!",1 month ago,1
248,"Surreal, a man amongst boys and he delivers as he has always done!",1 month ago,4
249,"Messi looks so happy after scoring a goal here, Unlike in PSG he wasnt as happy ",1 month ago,
250,Que felicidad ver triunfar a este hombre en el debut de su  nuevo club y de su nueva vida en Miami! ,1 month ago,1
251,"Look at Messi man, so inspirational",1 month ago,1
252,Being there had to be a Priceless moment for Messi fans.. Nevertheless to bring in the Final moment of the game .. Truly Electrifying and Amazing!,1 month ago,12
253,What a debut  GOAT!,1 month ago,
254,"Watching Lionel Messi, greatest feeling in the world, it’s unreal man.",1 month ago,
255,He was so excited and nervous it reminded me of his debut for Barcelona. Just happy to see him playing with the same passion he use to play with.,1 month ago,
256,That’s crazy he scored a beautiful goal on the last minute in his debut match what a start,1 month ago,
257,This is right up there alongside Zlatan's debut goals in the MLS. Incredible stuff.,1 month ago,1
258,"I'm Portuguese and this moment almost brought me to tears... Absolutely legendary, although CR7 is my idol I can't help but root for them both because they inspired me to love this game and to keep moments like this in the depths of my heart... Sports are amazing, viva Messi",1 month ago,6
259,"That was the most unbelievable goal, the most incredible feat of soccer that has ever happened. There will never be a goal like that again.",1 month ago,1
260,"beautiful freekick goal in his debut....Fans must be very happy.
What a living legend",1 month ago,1
261,"Messi creates memories that will never fade ,i am proud to be living in his Era ,my future grandkids don't worry,i have lots of stories to tell .",1 month ago,
262,What a amazing achievement in his debut. The GOAT,1 month ago,
263,"Being there to witness that moment must have been surreal! Messi's consistent brilliance, scoring those goals from his Barça days to the present, earns him immense respect. Truly impressive! ",1 month ago,
264,"This man was born a football player. Most greats had to train overtime to maintained consistency,  but he is the living GOAT.",1 month ago,7
265,Cómo no alegrarse por él. Se merece todo ,1 month ago,
266,Goosebumps ,1 month ago,
267,Out of Words for Leo.. watching him since 2008 and still he amazes me. ,1 month ago,1
268,"Wherever he goes his presence is always felt,first game for Miami rhis was how he announved his arrival with a stunning freekick goal in the last seconds of the game",1 month ago,
269,"I never thought I’d see the day…Messi in the MLS…and what a way to announce your presence…it just had to be. As soon as he was fouled, I just knew…it was a good spot and I was like “Messi, go for it man, go for goal!”",1 month ago,
270,EL MEJOR DE TODA LA HISTORIA!!!! 🇦🇷,1 month ago,3
271,O verdadeiro GOAT,1 month ago,
272,I’m really happy for David Beckham because back in his playing days with the LA Galaxy he once said that he had a huge compromise with football in the United States. He wanted to contribute to the league after his retirement. Look at him now not only did he bring a team the the city of Miami he also as manage to sign Lionel Messi he is a man that keeps his promises huge respect for Beckham.,1 month ago,
273,Es un debut maravilloso todavia tiene mucha magia Messi es el mejor jugador del mundo y llena estadios orgullo latino y de Argentina,1 month ago,1
274,"Look at the happiness on his face, him celebrating and smiling after that world class free kick in such a clutch moment is just so beautiful to watch. It's evident that he is the best in the world right now. And I am a cr7 fan saying this",1 month ago,
275,Messi with his signature free kick was such a treat.,1 month ago,
276,Disfrutar los últimos años a messi a esta leyenda,1 month ago,25
277,That smile when he was jogging alone after the goal was the biggest smile I think I've ever seen him have. As a Real Madrid fan that was heart warming,1 month ago,
278,"Doesn't matter what part of the world he's in. 
Pure Genius....",1 month ago,2
279,He is just unbelievable... So happy for him that he left PSG and actually gets to enjoy playing football again ,1 month ago,
280,"It's so beautiful to watch him but sad to know that he's playing his last matches in his career,  what a joy was to watch you Leo ",1 month ago,
281,"É normal, Messi é Messi ",1 month ago,
282,He scored a banger we will see many more from his side  ALL TIME GREAT,1 month ago,19
283,"Debuta, hace un tremendo GOLAZO, es al ultimo minuto, y es el gol que le da la victoria a su equipo, enorme…",1 month ago,
284,"Messi lo ha vuelto a hacer, da igual cuando leas este comentario. Simplemente increíble.",1 month ago,
285,"Welcome to the MLS, Messi. ",1 month ago,1
286,"Abrazándose de esa manera con sus nuevos compañeros en su primer gol, Messi es humildad, Messi es todo lo que está bien",1 month ago,1
287,"Amazing debut. Once Messi, Burquets, and Martinez got on Miami's play quality doubled. Messi scored goal of the match, but player of the match in my opinion was Sergio Busquets. That guys passes and set ups were spot on!",1 month ago,
288,"No matter where he go, his teammates always seems to love him.",1 month ago,3
289,What a debut goal !!!!,1 month ago,
290,"You can say whatever you want, about it being the US, the MLS, whatever you want, it doesn’t matter…this was an incredible strike from arguably the best player of all time and a historic debut. Enjoy the moment, have fun.",1 month ago,
291,No matter where he plays he will find a way to score spectacular goals !! He just looks at football from a different perspective !,1 month ago,
292,Look how he is humble ..the GOAT ,1 month ago,1
293,Legit GOOSEBUMPS moment. LEGEND,1 month ago,
294,That decisive winning goal for PSG just a couple of months back and now this decisive winning goal for InterMiami. Only a LEGEND can repeat history again and again.,1 month ago,2
295,His Humility ️,1 month ago,
296,The way he celebrate his goal.. Like someone who find his HOME... Love to see he enjoy this goal...,1 month ago,1
297,"i am so proud of being Messi’s fan. My happiness is witness Messi playing and enjoying his new life. What a legend. Hopefully,Messi continues shining and being GOAT ever ",1 month ago,
298,"Even though this game has changed its name to soccer, Messi's magic still delivers.
The greatest of all time ️",1 month ago (edited),1
299,Este gol de Messi me da unas vibras al gol que le hace al Liverpool en champions con el Barca,1 month ago,
300,What an ABSOLUTE legend,1 month ago,3
301,Am more of a Ronaldo fan but OMG Messi is nothing but pure magic...we thank God for Messi and Ronaldo for giving us the best of football for so many years...a debut of nothing short of magic...,1 month ago,
302,"Besides the amazing free kick, Inter changed completely as soon Messi and Busquets got in, the quality of passing and how incisive Inter became was day an night. If they get Suarez up front Inter is gonna draw circles around the MLS teams.",1 month ago,
303,"Not a Messi fan but I gotta admit: every single person in that stadium, including his team mates are completely star-struck",1 month ago,2
304,Que lindo es verte sonreír Lionel♡,1 month ago (edited),
305,Que lindo es ver como Messi despierta pasion por el futbol en personas de todo el mundo.,1 month ago,1
306,In his debut he carried the team ,1 month ago,10
307,Нет слов! Нужно признать что он один из королей футбола,1 month ago,1
308,He makes it look so easy!! The GOAT!!!,1 month ago,
309,Espectacular  🇦🇷 ️,1 month ago,1
310,Beautiful goal from the GOAT Also that kit looks great on Messi.,1 month ago,
311,He is the greatest for a reason ,1 month ago,2
312,Monstro sagrado,1 month ago,65
313,Not only is it's becks but it's Messi and now it's going to be a great season in the mls even just with Messi there. What a player!!,1 month ago,
314,"Debut with a free kick goal, what a GOAT",1 month ago,
315,he literally just re-wrote history ,1 month ago,
316,"Gosc jest najlepszy i tyle
Number one !!",1 month ago,
